%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z
1573333108363859677,42535,1573333108324136983,imu,0.0,0.0,0.0,0.0,-0.00421846080207,-0.00606397195313,-0.000878424212529,0.182956507826,-0.0465975019932,9.73387481636
1573333108379840453,42536,1573333108340136983,imu,0.0,0.0,0.0,0.0,-0.00193347574536,-0.000175754655676,-0.00199089707775,0.18678240799,-0.0377685016155,9.70581821516
1573333108395796416,42537,1573333108356136983,imu,0.0,0.0,0.0,0.0,0.00149400183971,0.000175754655676,-0.00240087491904,0.188646308069,-0.051993002224,9.72602681602
1573333108411787130,42538,1573333108372136983,imu,0.0,0.0,0.0,0.0,0.000527263967027,0.000527263967027,-0.00111264739815,0.186586207981,-0.0368856015778,9.71033081535
1573333108427878425,42539,1573333108388136983,imu,0.0,0.0,0.0,0.0,0.00131824718403,-0.000527263967027,-0.000175754655676,0.18727290801,-0.0484614020729,9.72171041584
1573333108443817645,42540,1573333108404136983,imu,0.0,0.0,0.0,0.0,0.00149400183971,0.000439473905652,-0.000585557964044,0.189725408115,-0.0484614020729,9.73201091628
1573333108459893580,42541,1573333108420136983,imu,0.0,0.0,0.0,0.0,-0.000615228561328,8.79645943005e-05,0.00105400433528,0.188450108061,-0.0443412018967,9.69679301477
1573333108475819389,42542,1573333108436136983,imu,0.0,0.0,0.0,0.0,0.00140621177833,0.00351544217937,-0.000234223185618,0.18727290801,-0.0523854022408,9.74044751664
1573333108491783707,42543,1573333108452136983,imu,0.0,0.0,0.0,0.0,-0.000615228561328,-0.00131824718403,-0.00117111592809,0.183741307859,-0.0480690020561,9.7138624155
1573333108507785781,42544,1573333108468136983,imu,0.0,0.0,0.0,0.0,0.000439473905652,-0.00105452793405,0.000292866248485,0.18727290801,-0.0535626022911,9.71700161564
1573333108523799714,42545,1573333108484136983,imu,0.0,0.0,0.0,0.0,0.00149400183971,-0.00158196643401,0.00316218753876,0.18727290801,-0.0471861020184,9.72563441601
1573333108539804329,42546,1573333108500136983,imu,0.0,0.0,0.0,0.0,0.000263719249976,0.000263719249976,-0.000351334778426,0.186586207981,-0.0511101021862,9.71052701536
1573333108555729539,42547,1573333108516136983,imu,0.0,0.0,0.0,0.0,-0.00395474155209,-0.00228498505671,0.00281085276034,0.191196908178,-0.0503253021526,9.72396671594
1573333108571815104,42548,1573333108532136983,imu,0.0,0.0,0.0,0.0,8.79645943005e-05,0.000527263967027,0.000878424212529,0.192570308237,-0.0435564018631,9.70954601532
1573333108587825122,42549,1573333108548136983,imu,0.0,0.0,0.0,0.0,0.0,0.00114249252836,-0.000468446371235,0.184526107893,-0.0437526018715,9.72004271577
1573333108603779301,42550,1573333108564136983,imu,0.0,0.0,0.0,0.0,0.000703018622703,-0.000175754655676,0.00076131261972,0.18678240799,-0.0529740022659,9.71965031575
